pred,obj,cnt
http://www.w3.org/2002/07/owl#sameAs,http://d-nb.info/gnd/4381782-8,1
http://www.w3.org/2002/07/owl#sameAs,http://de.dbpedia.org/resource/SCOR-Modell,1
http://www.w3.org/2000/01/rdf-schema#label,ModBus,1
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#IEC_62890,1
http://www.w3.org/2002/07/owl#sameAs,http://yago-knowledge.org/resource/ISO/IEC_14443,1
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Credit113378518,1
http://www.w3.org/2002/07/owl#sameAs,http://fr.dbpedia.org/resource/Standard_pour_l'échange_de_données_de_produit,1
https://w3id.org/i40/sto#developer,https://w3id.org/i40/sto#DIN,1
http://www.w3.org/2002/07/owl#sameAs,http://fr.dbpedia.org/resource/ISO_19439,1
http://www.w3.org/2002/07/owl#sameAs,http://it.dbpedia.org/resource/TR-069,1
http://www.w3.org/2002/07/owl#sameAs,http://wikidata.dbpedia.org/resource/Q1017620,1
http://www.w3.org/2000/01/rdf-schema#label,ISO 13849,1
https://w3id.org/i40/sto#hasOfficialResource,https://www.iso.org/standard/60042.html,1
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#ASAM,1
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Computer_networks,1
http://www.w3.org/2002/07/owl#sameAs,http://de.dbpedia.org/resource/EbXML,1
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Software-defined_radio,1
https://w3id.org/i40/sto#hasTag,Information technology -- Automatic identification and data capture techniques -- Unique identification,1
http://www.w3.org/2002/07/owl#sameAs,http://wikidata.dbpedia.org/resource/Q5970200,1
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Wireless_sensor_network,1
http://www.w3.org/2002/07/owl#sameAs,http://yago-knowledge.org/resource/IEC_61158,1
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#SE,1
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Organism100004475,1
https://w3id.org/i40/sto#hasTag,IEC 62890,1
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Web_service_specifications,1
https://w3id.org/i40/sto#hasOfficialResource,http://portals.omg.org/dds/,1
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#IEC_62714,1
http://www.w3.org/2002/07/owl#sameAs,http://yago-knowledge.org/resource/CAEX,1
http://www.w3.org/2002/07/owl#sameAs,http://pl.dbpedia.org/resource/ISO_9000,1
http://www.w3.org/2000/01/rdf-schema#isDefinedBy,http://qifstandards.org/about-qif/,1
http://www.w3.org/2002/07/owl#sameAs,http://fr.dbpedia.org/resource/Electronic_Business_using_eXtensible_Markup_Language,1
http://www.w3.org/2000/01/rdf-schema#label,ISA 95,1
https://w3id.org/i40/sto#developer,https://w3id.org/i40/sto#OASIS,1
http://www.w3.org/2002/07/owl#sameAs,http://wikidata.dbpedia.org/resource/Q2117885,1
http://www.w3.org/2002/07/owl#sameAs,http://nl.dbpedia.org/resource/ANSI/ISA-88,1
http://www.w3.org/2002/07/owl#sameAs,http://eu.dbpedia.org/resource/ISO_9000,1
https://w3id.org/i40/sto#hasClassification,https://w3id.org/i40/rami#Asst,1
http://www.w3.org/2002/07/owl#sameAs,http://www.wikidata.org/entity/Q6718422,1
http://www.w3.org/2002/07/owl#sameAs,http://it.dbpedia.org/resource/SCOR,1
http://www.w3.org/2002/07/owl#sameAs,http://pl.dbpedia.org/resource/Business_Process_Modeling_Notation,1
http://www.w3.org/2002/07/owl#sameAs,http://ja.dbpedia.org/resource/ISO_13485,1
https://w3id.org/i40/sto#hasWikipediaArticle,https://en.wikipedia.org/wiki/Modbus,1
http://purl.org/linguistics/gold/hypernym,http://dbpedia.org/resource/Control,1
https://w3id.org/i40/sto#hasDBpediaResource,http://dbpedia.org/resource/COLLADA,1
https://w3id.org/i40/sto#hasWikipediaArticle,https://en.wikipedia.org/wiki/B2MML,1
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:World_Wide_Web,1
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://dbpedia.org/class/yago/Possession100032613,1
http://www.w3.org/2002/07/owl#sameAs,http://ja.dbpedia.org/resource/ISO/IEC_14443,1
https://w3id.org/i40/sto#hasDBpediaResource,http://dbpedia.org/resource/IEC_62061,1
https://w3id.org/i40/sto#hasPublicationDate,2011-12-01,1
http://www.w3.org/2002/07/owl#sameAs,http://it.dbpedia.org/resource/ISO_10303,1
http://www.w3.org/2002/07/owl#sameAs,http://yago-knowledge.org/resource/IEC_61508,1
http://www.w3.org/2002/07/owl#sameAs,http://fr.dbpedia.org/resource/Resource_Description_Framework,1
http://www.w3.org/2002/07/owl#sameAs,http://de.dbpedia.org/resource/ISA-88,1
https://w3id.org/i40/sto#hasDBpediaResource,http://dbpedia.org/page/ISO_9000,1
https://w3id.org/i40/sto#hasPublicationDate,2012-02-22,1
http://www.w3.org/2002/07/owl#sameAs,http://yago-knowledge.org/resource/IEC_62061,1
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Graphics_standards,1
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#IEC_61512,1
http://www.w3.org/2002/07/owl#sameAs,http://yago-knowledge.org/resource/SPARQL,1
http://www.w3.org/2004/02/skos/core#note,TODO - Split properly and classify it - check the NIST paper,1
http://www.w3.org/2002/07/owl#sameAs,http://fr.dbpedia.org/resource/MQTT,1
https://w3id.org/i40/sto#hasOfficialResource,https://webstore.iec.ch/publication/5878,1
https://w3id.org/i40/sto#hasOfficialResource,https://webstore.iec.ch/publication/6225,1
https://w3id.org/i40/sto#relatedTo,https://w3id.org/i40/sto#ISO_19439,1
http://www.w3.org/2000/01/rdf-schema#label,ISO 10303,1
http://www.w3.org/2002/07/owl#sameAs,http://ko.dbpedia.org/resource/CAN_bus,1
https://w3id.org/i40/sto#hasTag,Enterprise-Control System Integration,1
http://www.w3.org/2002/07/owl#sameAs,http://yago-knowledge.org/resource/MTConnect,1
https://w3id.org/i40/sto#hasWikipediaArticle,https://en.wikipedia.org/wiki/Data_Distribution_Service,1
http://purl.org/dc/terms/subject,http://dbpedia.org/resource/Category:Industrial_processes,1
http://www.w3.org/2002/07/owl#sameAs,http://yago-knowledge.org/resource/WirelessHART,1
https://w3id.org/i40/sto#hasWikipediaArticle,https://en.wikipedia.org/wiki/MQTT,1
http://www.w3.org/2002/07/owl#sameAs,http://es.dbpedia.org/resource/ISO_50001,1
http://www.w3.org/2000/01/rdf-schema#label,IEC 61400,1
https://w3id.org/i40/sto#publisher,https://w3id.org/i40/sto#OAGi,1
http://www.w3.org/2002/07/owl#sameAs,http://de.dbpedia.org/resource/ISO_13485,1
